"Name: Big Pine"
"ID: 58013800"
"Ice Out Date","Source"
"1965-04-21","MNPCA"
"1966-04-24","MNPCA"
"1967-04-23","MNPCA"
"1968-04-03","MNPCA"
"1969-04-08","MNPCA"
"1970-04-25","MNPCA"
"1971-04-21","MNPCA"
"1972-04-28","MNPCA"
"1973-04-08","MNPCA"
"1974-04-23","MNPCA"
"1975-05-02","MNPCA"
"1976-04-10","MNPCA"
"1977-04-11","MNPCA"
"1978-04-20","MNPCA"
"1979-04-23","MNPCA"
"1980-04-19","MNPCA"
"1981-04-03","MNPCA"
"1982-04-23","MNPCA"
"1983-04-26","MNPCA"
"1984-04-18","MNPCA"
"1985-04-17","MNPCA"
"1986-04-12","MNPCA"
"1987-04-06","MNPCA"
"1988-04-13","MNPCA"
"1989-04-22","MNPCA"
"1990-04-18","MNPCA"
"1991-04-07","MNPCA"
"1992-04-08","MNPCA"
"1993-04-19","MNPCA"
"1994-04-16","MNPCA"
"1995-04-21","MNPCA"
"1995-04-23","MNPCA"
"1996-04-26","MNPCA"
"1998-04-04","MNDNR-LAKESDB"
"1998-04-05","MNPCA"
"1999-04-08","MNPCA"
"2001-04-25","MNPCA"
"2002-04-17","MNPCA"
"2003-04-15","MNPCA"
"2003-04-15","MNPCA"
"2003-04-15","MNPCA"
"2004-04-15","MNPCA"
"2004-04-15","MNPCA"
"2005-04-10","MNPCA"
"2006-04-10","MNPCA"
"2007-04-20","MNPCA"
"2008-04-25","MNPCA"
"2014-04-29","MNPCA"
"2017-04-01","MNPCA"
"2018-05-01","MNPCA"
"2019-04-20","MNPCA"
"2019-04-21","MNDNR-LLMMP"
"2020-04-09","MNPCA"
"2020-04-16","MNDNR-LLMMP"
"2021-03-30","MNDNR-LLMMP"
"2022-04-26","MNPCA"
