"Name: Bald Eagle"
"ID: 62000200"
"Ice Out Date","Source"
"1963-03-30","MNDNR-SCO"
"1964-04-13","MNDNR-SCO"
"1965-04-29","MNDNR-SCO"
"1966-04-01","MNDNR-SCO"
"1967-04-08","MNDNR-SCO"
"1968-03-30","MNDNR-SCO"
"1969-04-14","MNDNR-SCO"
"1970-04-16","MNDNR-SCO"
"1971-04-15","MNDNR-SCO"
"1972-04-22","MNDNR-SCO"
"1973-04-01","MNDNR-SCO"
"1974-04-19","MNDNR-SCO"
"1975-04-26","MNDNR-SCO"
"1976-04-05","MNDNR-SCO"
"1977-04-09","MNDNR-SCO"
"1978-04-12","MNDNR-SCO"
"1979-04-21","MNDNR-SCO"
"1980-04-15","MNDNR-SCO"
"1981-03-27","MNDNR-SCO"
"1982-04-18","MNDNR-SCO"
"1983-04-10","MNDNR-SCO"
"1984-04-11","MNDNR-SCO"
"1985-04-12","MNDNR-SCO"
"1986-04-08","MNDNR-SCO"
"1987-03-18","MNDNR-SCO"
"1988-04-06","MNDNR-SCO"
"1989-04-16","MNDNR-SCO"
"1990-04-02","MNDNR-SCO"
"1991-04-06","MNDNR-SCO"
"1992-04-07","MNDNR-SCO"
"1992-04-07","MNDNR-LAKESDB"
"1993-04-18","MNDNR-SCO"
"1994-04-06","MNDNR-SCO"
"1995-04-02","MNDNR-SCO"
"1996-04-22","MNDNR-SCO"
"1997-04-14","MNDNR-SCO"
"1998-04-01","MNDNR-SCO"
"1999-04-07","MNDNR-SCO"
"2000-03-08","MNPCA"
"2000-03-15","MNDNR-SCO"
"2001-04-15","MNPCA"
"2001-04-16","MNDNR-SCO"
"2002-04-14","MNPCA"
"2002-04-15","MNDNR-SCO"
"2003-04-05","MNPCA"
"2003-04-09","MNDNR-SCO"
"2004-04-06","MNPCA"
"2004-04-07","MNDNR-SCO"
"2005-04-07","MNDNR-SCO"
"2006-04-07","MNDNR-SCO"
"2007-03-28","MNPCA"
"2007-03-28","MNDNR-SCO"
"2008-04-22","MNDNR-SCO"
"2008-04-22","MNPCA"
"2009-04-07","MNDNR-SCO"
"2010-03-31","MNDNR-SCO"
"2011-04-13","MNDNR-SCO"
"2013-05-02","MNDNR-SCO"
"2014-04-23","MNDNR-SCO"
"2016-03-16","MNDNR-SCO"
"2016-03-16","MNPCA"
"2017-03-23","MNPCA"
"2019-04-09","MNDNR-SCO"
"2019-04-15","MNPCA"
"2020-04-02","MNDNR-SCO"
"2022-04-14","MNPCA"
