"Name: Kohlman"
"ID: 62000600"
"Ice Out Date","Source"
"1999-03-28","MNDNR-LAKESDB"
"1999-03-28","MNDNR-SCO"
"2000-03-08","MNDNR-SCO"
"2001-04-12","MNDNR-SCO"
"2002-04-14","MNDNR-SCO"
"2003-04-02","MNDNR-SCO"
"2004-04-03","MNDNR-SCO"
"2005-04-05","MNDNR-SCO"
"2006-04-06","MNDNR-SCO"
"2007-03-26","MNDNR-SCO"
"2008-04-18","MNDNR-SCO"
"2009-03-31","MNDNR-SCO"
"2010-03-29","MNDNR-SCO"
"2010-03-29","MNDNR-SCO"
"2011-04-10","MNDNR-SCO"
"2012-03-17","MNDNR-SCO"
"2013-04-27","MNDNR-SCO"
"2014-04-12","MNDNR-SCO"
"2015-03-29","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2017-03-22","MNDNR-SCO"
"2018-04-28","MNDNR-SCO"
"2019-04-08","MNDNR-SCO"
"2020-03-29","MNDNR-SCO"
"2021-03-23","MNDNR-SCO"
"2022-04-10","MNDNR-SCO"
