"Name: Gervais"
"ID: 62000700"
"Ice Out Date","Source"
"1999-03-30","MNDNR-SCO"
"1999-03-30","MNDNR-LAKESDB"
"2001-04-15","MNDNR-SCO"
"2002-04-15","MNDNR-SCO"
"2003-04-03","MNDNR-SCO"
"2004-03-28","MNPCA"
"2004-04-05","MNDNR-SCO"
"2005-04-05","MNPCA"
"2005-04-06","MNDNR-SCO"
"2006-04-07","MNDNR-SCO"
"2007-03-27","MNDNR-SCO"
"2007-03-27","MNPCA"
"2008-04-21","MNDNR-SCO"
"2008-04-21","MNPCA"
"2009-04-03","MNDNR-SCO"
"2010-03-30","MNDNR-SCO"
"2010-03-30","MNDNR-SCO"
"2011-04-11","MNDNR-SCO"
"2012-03-18","MNDNR-SCO"
"2013-04-28","MNDNR-SCO"
"2014-04-19","MNDNR-SCO"
"2015-04-01","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2017-03-25","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2019-04-09","MNDNR-SCO"
"2020-03-29","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
"2022-04-11","MNDNR-SCO"
