"Name: Cannon"
"ID: 66000800"
"Ice Out Date","Source"
"1982-04-10","MNDNR-SCO"
"1983-03-30","MNDNR-SCO"
"1984-04-12","MNDNR-SCO"
"1985-04-01","MNDNR-SCO"
"1986-04-01","MNDNR-SCO"
"1988-03-28","MNDNR-SCO"
"1991-04-01","MNDNR-SCO"
"1992-04-07","MNDNR-SCO"
"1993-04-19","MNDNR-SCO"
"1994-04-02","MNDNR-SCO"
"1995-03-20","MNDNR-SCO"
"1996-04-17","MNDNR-SCO"
"1999-03-28","MNDNR-SCO"
"1999-03-28","MNDNR-LAKESDB"
"2002-03-30","MNDNR-SCO"
"2003-03-25","MNDNR-SCO"
"2003-03-27","MNPCA"
"2004-03-28","MNDNR-SCO"
"2005-04-04","MNDNR-SCO"
"2006-04-05","MNDNR-SCO"
"2007-03-26","MNDNR-SCO"
"2007-03-27","MNPCA"
"2008-04-17","MNDNR-SCO"
"2009-03-24","MNDNR-SCO"
"2010-03-29","MNDNR-SCO"
"2011-04-11","MNDNR-SCO"
"2012-03-15","MNDNR-SCO"
"2013-04-21","MNDNR-SCO"
"2014-04-12","MNPCA"
"2014-04-12","MNDNR-SCO"
"2015-03-23","MNPCA"
"2015-03-24","MNDNR-SCO"
"2016-03-14","MNDNR-SCO"
"2016-03-15","MNPCA"
"2017-03-21","MNDNR-SCO"
"2018-04-29","MNPCA"
"2018-04-29","MNDNR-SCO"
"2019-04-08","MNDNR-SCO"
"2020-03-30","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
"2022-04-04","MNDNR-SCO"
