"Name: Wells"
"ID: 66001000"
"Ice Out Date","Source"
"1983-03-30","MNDNR-SCO"
"1984-04-12","MNDNR-SCO"
"1986-04-01","MNDNR-SCO"
"1988-03-26","MNDNR-SCO"
"1989-04-08","MNDNR-SCO"
"1990-03-25","MNDNR-SCO"
"1991-04-01","MNDNR-SCO"
"1995-03-20","MNDNR-SCO"
"1999-03-28","MNDNR-SCO"
"2002-04-07","MNPCA"
"2003-03-27","MNPCA"
"2008-04-15","MNPCA"
"2013-04-17","MNDNR-SCO"
"2014-04-10","MNDNR-SCO"
"2014-04-10","MNPCA"
"2015-03-21","MNDNR-SCO"
"2016-03-11","MNPCA"
"2017-03-18","MNDNR-SCO"
"2018-04-26","MNPCA"
"2018-04-27","MNDNR-SCO"
"2019-04-02","MNDNR-SCO"
"2020-03-26","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
"2022-04-04","MNDNR-SCO"
