"Name: Roberds"
"ID: 66001800"
"Ice Out Date","Source"
"1978-03-28","MNPCA"
"1979-04-20","MNPCA"
"1980-04-15","MNPCA"
"1981-03-16","MNPCA"
"1982-04-12","MNPCA"
"1983-04-17","MNPCA"
"1984-04-14","MNPCA"
"1985-04-07","MNPCA"
"1986-04-03","MNPCA"
"1987-03-14","MNPCA"
"1988-04-01","MNDNR-SCO"
"1988-04-01","MNPCA"
"1989-04-14","MNPCA"
"1990-03-24","MNPCA"
"1990-03-25","MNDNR-SCO"
"1991-04-03","MNPCA"
"1992-04-07","MNPCA"
"1993-04-10","MNPCA"
"1994-04-03","MNPCA"
"1995-03-20","MNPCA"
"1996-04-14","MNDNR-LAKESDB"
"1996-04-17","MNDNR-SCO"
"1996-04-17","MNPCA"
"1997-04-05","MNPCA"
"1998-03-28","MNPCA"
"1999-03-28","MNPCA"
"2000-03-08","MNPCA"
"2001-04-15","MNPCA"
"2002-03-31","MNPCA"
"2002-04-01","MNPCA"
"2003-03-27","MNPCA"
"2004-04-02","MNPCA"
"2005-04-05","MNPCA"
"2006-04-05","MNPCA"
"2007-03-27","MNPCA"
"2008-04-17","MNPCA"
"2016-03-15","MNDNR-SCO"
"2018-04-29","MNDNR-SCO"
"2018-04-30","MNPCA"
"2019-04-07","MNPCA"
"2020-03-29","MNPCA"
"2021-03-25","MNDNR-SCO"
"2022-04-08","MNDNR-SCO"
