"Name: Cedar"
"ID: 66005200"
"Ice Out Date","Source"
"1970-04-16","MNDNR-SCO"
"1971-04-11","MNDNR-SCO"
"1972-04-16","MNDNR-SCO"
"1973-03-24","MNDNR-SCO"
"1974-04-17","MNDNR-SCO"
"1975-04-26","MNDNR-SCO"
"1976-03-27","MNDNR-SCO"
"1977-03-27","MNDNR-SCO"
"1978-04-08","MNDNR-SCO"
"1979-04-20","MNDNR-SCO"
"1980-04-15","MNDNR-SCO"
"1981-03-16","MNDNR-SCO"
"1982-04-14","MNDNR-SCO"
"1983-04-06","MNDNR-SCO"
"1983-04-30","MNDNR-SCO"
"1984-04-13","MNDNR-SCO"
"1985-04-04","MNDNR-SCO"
"1986-04-02","MNDNR-SCO"
"1987-03-14","MNDNR-SCO"
"1988-03-29","MNDNR-SCO"
"1989-04-12","MNDNR-SCO"
"1990-03-21","MNDNR-SCO"
"1991-04-03","MNDNR-SCO"
"1992-04-05","MNDNR-SCO"
"1993-04-17","MNDNR-SCO"
"1994-04-01","MNDNR-SCO"
"1995-03-22","MNDNR-SCO"
"1996-04-17","MNDNR-SCO"
"1997-04-05","MNDNR-SCO"
"1998-04-02","MNDNR-SCO"
"1999-03-28","MNDNR-SCO"
"2001-04-14","MNPCA"
"2001-04-14","MNDNR-SCO"
"2002-03-31","MNPCA"
"2002-03-31","MNDNR-SCO"
"2003-03-28","MNDNR-SCO"
"2003-03-28","MNPCA"
"2004-04-01","MNPCA"
"2004-04-01","MNDNR-SCO"
"2005-04-04","MNPCA"
"2005-04-04","MNDNR-SCO"
"2006-04-05","MNDNR-SCO"
"2006-04-05","MNPCA"
"2007-03-26","MNPCA"
"2008-04-16","MNPCA"
"2014-04-13","MNDNR-SCO"
"2014-04-13","MNPCA"
"2015-03-25","MNPCA"
"2016-03-13","MNPCA"
"2017-03-23","MNDNR-SCO"
"2017-03-23","MNPCA"
"2018-04-29","MNDNR-SCO"
"2018-04-29","MNPCA"
"2019-04-05","MNDNR-SCO"
"2020-03-28","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
"2022-04-06","MNDNR-SCO"
