"Name: Shields"
"ID: 66005500"
"Ice Out Date","Source"
"1894-03-20","MNDNR-SCO"
"1895-03-31","MNDNR-SCO"
"1898-03-20","MNDNR-SCO"
"1899-04-18","MNDNR-SCO"
"1900-04-08","MNDNR-SCO"
"1901-04-06","MNDNR-SCO"
"1902-03-15","MNDNR-SCO"
"1903-04-03","MNDNR-SCO"
"1904-03-30","MNDNR-SCO"
"1906-04-04","MNDNR-SCO"
"1907-03-27","MNDNR-SCO"
"1910-04-06","MNDNR-SCO"
"1914-04-11","MNDNR-SCO"
"1915-04-08","MNDNR-SCO"
"1916-04-12","MNDNR-SCO"
"1917-04-17","MNDNR-SCO"
"1918-03-31","MNDNR-SCO"
"1919-03-26","MNDNR-SCO"
"1920-03-28","MNDNR-SCO"
"1921-03-18","MNDNR-SCO"
"1922-04-03","MNDNR-SCO"
"1923-04-15","MNDNR-SCO"
"1924-04-13","MNDNR-SCO"
"1925-03-30","MNDNR-SCO"
"1926-04-13","MNDNR-SCO"
"1927-03-30","MNDNR-SCO"
"1928-03-26","MNDNR-SCO"
"1929-03-30","MNDNR-SCO"
"1930-03-16","MNDNR-SCO"
"1931-03-07","MNDNR-SCO"
"1932-04-07","MNDNR-SCO"
"1933-04-01","MNDNR-SCO"
"1934-03-15","MNDNR-SCO"
"1935-03-26","MNDNR-SCO"
"1936-04-15","MNDNR-SCO"
"1937-04-14","MNDNR-SCO"
"1938-03-25","MNDNR-SCO"
"1939-04-04","MNDNR-SCO"
"1940-04-15","MNDNR-SCO"
"1941-04-11","MNDNR-SCO"
"1942-03-24","MNDNR-SCO"
"1943-04-04","MNDNR-SCO"
"1944-04-02","MNDNR-SCO"
"1945-03-24","MNDNR-SCO"
"1946-03-26","MNDNR-SCO"
"1947-04-05","MNDNR-SCO"
"1948-03-31","MNDNR-SCO"
"1949-04-07","MNDNR-SCO"
"1950-04-18","MNDNR-SCO"
"1951-04-27","MNDNR-SCO"
"1952-04-19","MNDNR-SCO"
"1953-04-01","MNDNR-SCO"
"1954-03-24","MNDNR-SCO"
"1955-04-06","MNDNR-SCO"
"1956-04-17","MNDNR-SCO"
"1957-04-03","MNDNR-SCO"
"1958-04-04","MNDNR-SCO"
"1959-04-08","MNDNR-SCO"
"1960-04-08","MNDNR-SCO"
"1961-04-09","MNDNR-SCO"
"1962-04-22","MNDNR-SCO"
"1963-04-01","MNDNR-SCO"
"1964-04-05","MNDNR-SCO"
"1965-04-24","MNDNR-SCO"
"1966-03-17","MNDNR-SCO"
"1967-04-01","MNDNR-SCO"
"1968-03-18","MNDNR-SCO"
"1969-04-14","MNDNR-SCO"
"1970-04-15","MNDNR-SCO"
"1971-04-11","MNDNR-SCO"
"1972-04-17","MNDNR-SCO"
"1973-03-28","MNDNR-SCO"
"1974-04-12","MNDNR-SCO"
"1975-04-26","MNDNR-SCO"
"1976-03-28","MNDNR-SCO"
"1977-03-28","MNDNR-SCO"
"1978-04-08","MNDNR-SCO"
"1979-04-20","MNDNR-SCO"
"1980-04-07","MNDNR-SCO"
"1981-03-17","MNDNR-SCO"
"1982-04-14","MNDNR-SCO"
"1983-04-09","MNDNR-SCO"
"1984-04-14","MNDNR-SCO"
"1985-04-15","MNDNR-SCO"
"1986-04-02","MNDNR-SCO"
"1987-03-23","MNDNR-SCO"
"1988-04-01","MNDNR-SCO"
"1989-04-14","MNDNR-SCO"
"1990-03-23","MNDNR-SCO"
"1991-04-04","MNDNR-SCO"
"1992-04-06","MNDNR-SCO"
"1993-04-19","MNDNR-SCO"
"1994-04-03","MNDNR-SCO"
"1995-03-21","MNDNR-SCO"
"1996-04-17","MNDNR-SCO"
"1997-04-05","MNDNR-SCO"
"1998-03-31","MNDNR-SCO"
"1999-03-28","MNDNR-SCO"
"2000-03-09","MNDNR-SCO"
"2001-04-15","MNDNR-SCO"
"2002-04-05","MNDNR-SCO"
"2003-03-28","MNDNR-SCO"
"2004-04-02","MNPCA"
"2005-04-06","MNDNR-SCO"
"2005-04-06","MNPCA"
"2006-04-05","MNDNR-SCO"
"2007-03-26","MNDNR-SCO"
"2007-03-27","MNPCA"
"2007-03-27","MNPCA"
"2008-04-18","MNPCA"
"2009-03-25","MNDNR-SCO"
"2011-04-10","MNDNR-SCO"
"2012-03-15","MNDNR-SCO"
"2013-04-27","MNDNR-SCO"
"2013-04-28","MNDNR-LLMMP"
"2014-04-14","MNDNR-SCO"
"2014-04-14","MNPCA"
"2016-03-15","MNDNR-SCO"
"2017-03-23","MNPCA"
"2017-03-23","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2018-04-30","MNPCA"
"2019-04-08","MNDNR-SCO"
"2020-03-28","MNDNR-SCO"
"2021-03-25","MNDNR-SCO"
"2021-03-26","MNDNR-LLMMP"
"2022-04-10","MNDNR-SCO"
"2022-04-10","MNDNR-LLMMP"
