"Name: Shagawa"
"ID: 69006900"
"Ice Out Date","Source"
"1965-05-06","MNPCA"
"1965-05-06","MNDNR-SCO"
"1966-05-15","MNPCA"
"1966-05-15","MNDNR-SCO"
"1967-04-17","MNPCA"
"1967-04-17","MNDNR-SCO"
"1968-04-29","MNDNR-SCO"
"1968-04-29","MNPCA"
"1969-04-27","MNDNR-SCO"
"1969-04-27","MNPCA"
"1970-05-02","MNDNR-SCO"
"1970-05-02","MNPCA"
"1971-05-06","MNPCA"
"1971-05-06","MNDNR-SCO"
"1972-05-09","MNDNR-SCO"
"1972-05-09","MNPCA"
"1973-04-19","MNPCA"
"1973-04-19","MNDNR-SCO"
"1974-05-02","MNPCA"
"1974-05-02","MNDNR-SCO"
"1975-05-07","MNDNR-SCO"
"1975-05-07","MNPCA"
"1976-04-18","MNDNR-SCO"
"1976-04-18","MNPCA"
"1977-04-23","MNPCA"
"1977-04-23","MNDNR-SCO"
"1978-05-04","MNPCA"
"1978-05-04","MNDNR-SCO"
"1979-05-15","MNPCA"
"1979-05-15","MNDNR-SCO"
"1980-04-24","MNDNR-SCO"
"1980-04-24","MNPCA"
"1981-04-18","MNDNR-SCO"
"1981-04-18","MNPCA"
"1982-05-02","MNDNR-SCO"
"1982-05-02","MNPCA"
"1983-04-29","MNDNR-SCO"
"1983-04-30","MNPCA"
"1984-04-24","MNDNR-SCO"
"1984-04-24","MNPCA"
"1985-04-25","MNPCA"
"1985-04-25","MNDNR-SCO"
"1986-04-20","MNDNR-SCO"
"1986-04-20","MNPCA"
"1987-04-15","MNDNR-SCO"
"1987-04-15","MNPCA"
"1988-04-28","MNPCA"
"1988-04-28","MNDNR-SCO"
"1989-05-04","MNPCA"
"1989-05-04","MNDNR-SCO"
"1990-04-25","MNDNR-SCO"
"1990-04-25","MNPCA"
"1991-04-22","MNDNR-SCO"
"1991-04-22","MNPCA"
"1992-05-04","MNDNR-SCO"
"1992-05-04","MNPCA"
"1993-04-28","MNDNR-SCO"
"1993-04-28","MNPCA"
"1994-04-24","MNPCA"
"1994-04-24","MNDNR-SCO"
"1995-04-29","MNDNR-SCO"
"1995-04-29","MNPCA"
"1996-05-16","MNDNR-SCO"
"1996-05-16","MNPCA"
"1997-04-29","MNDNR-SCO"
"1997-04-29","MNPCA"
"1998-04-13","MNPCA"
"1998-04-14","MNDNR-SCO"
"1998-04-14","MNPCA"
"1999-04-25","MNDNR-SCO"
"1999-04-25","MNPCA"
"2000-04-17","MNPCA"
"2000-04-17","MNDNR-SCO"
"2001-04-30","MNPCA"
"2001-04-30","MNDNR-SCO"
"2002-04-24","MNPCA"
"2002-04-24","MNPCA"
"2002-04-24","MNDNR-SCO"
"2003-04-27","MNPCA"
"2003-04-27","MNPCA"
"2003-04-27","MNDNR-SCO"
"2003-04-27","MNPCA"
"2004-04-27","MNPCA"
"2004-04-28","MNDNR-SCO"
"2004-04-28","MNPCA"
"2005-04-17","MNDNR-SCO"
"2006-04-16","MNDNR-SCO"
"2007-04-26","MNDNR-SCO"
"2008-05-07","MNDNR-SCO"
"2009-04-30","MNDNR-SCO"
"2010-04-03","MNDNR-SCO"
"2011-04-29","MNDNR-SCO"
"2012-03-27","MNDNR-SCO"
"2014-05-11","MNDNR-LLMMP"
"2015-04-18","MNPCA"
"2017-04-14","MNDNR-SCO"
"2017-04-14","MNPCA"
"2018-05-06","MNPCA"
"2019-04-29","MNPCA"
"2020-05-02","MNPCA"
"2021-04-13","MNDNR-SCO"
"2022-05-10","MNDNR-SCO"
"2022-05-10","MNDNR-LLMMP"
"2022-05-10","MNPCA"
