"Name: Burntside"
"ID: 69011800"
"Ice Out Date","Source"
"1940-05-11","MNDNR-SCO"
"1941-04-10","MNDNR-SCO"
"1943-05-02","MNDNR-SCO"
"1944-05-11","MNDNR-SCO"
"1945-04-12","MNDNR-SCO"
"1946-04-24","MNDNR-SCO"
"1947-05-13","MNDNR-SCO"
"1948-04-28","MNDNR-SCO"
"1949-04-28","MNDNR-SCO"
"1950-05-22","MNDNR-SCO"
"1951-05-05","MNDNR-SCO"
"1952-04-29","MNDNR-SCO"
"1953-05-05","MNDNR-SCO"
"1954-05-12","MNDNR-SCO"
"1955-04-21","MNDNR-SCO"
"1956-05-10","MNDNR-SCO"
"1957-05-01","MNDNR-SCO"
"1958-04-21","MNDNR-SCO"
"1960-05-01","MNDNR-SCO"
"1961-05-01","MNDNR-SCO"
"1962-05-06","MNDNR-SCO"
"1963-04-30","MNDNR-SCO"
"1964-04-18","MNDNR-SCO"
"1970-05-05","MNDNR-SCO"
"1971-05-03","MNDNR-SCO"
"1972-05-07","MNDNR-SCO"
"1973-04-27","MNDNR-SCO"
"1974-05-02","MNDNR-SCO"
"1975-04-30","MNDNR-SCO"
"1976-04-19","MNDNR-SCO"
"1977-04-24","MNDNR-SCO"
"1978-05-04","MNDNR-SCO"
"1979-05-12","MNDNR-SCO"
"1980-04-28","MNDNR-SCO"
"1983-04-23","MNDNR-SCO"
"1984-04-26","MNDNR-SCO"
"1985-04-26","MNDNR-SCO"
"1986-04-19","MNDNR-SCO"
"1987-04-16","MNDNR-SCO"
"1988-04-30","MNDNR-SCO"
"1989-04-29","MNDNR-SCO"
"1990-04-26","MNDNR-SCO"
"1991-04-23","MNDNR-SCO"
"1992-05-06","MNDNR-SCO"
"1993-04-30","MNDNR-SCO"
"1994-05-02","MNDNR-SCO"
"1995-04-30","MNDNR-SCO"
"1996-05-17","MNDNR-SCO"
"1997-05-01","MNDNR-SCO"
"1998-04-17","MNDNR-SCO"
"1999-04-28","MNDNR-SCO"
"2000-04-21","MNDNR-SCO"
"2000-04-29","MNDNR-SCO"
"2001-05-01","MNDNR-SCO"
"2002-05-03","MNDNR-SCO"
"2002-05-03","MNPCA"
"2003-04-30","MNPCA"
"2003-05-02","MNDNR-SCO"
"2004-04-28","MNPCA"
"2004-04-28","MNPCA"
"2004-04-30","MNDNR-SCO"
"2005-04-12","MNDNR-SCO"
"2005-04-19","MNPCA"
"2006-04-15","MNDNR-SCO"
"2006-04-15","MNDNR-LAKESDB"
"2007-04-25","MNDNR-LAKESDB"
"2007-04-25","MNDNR-SCO"
"2007-04-27","MNPCA"
"2007-04-28","MNDNR-SCO"
"2008-05-08","MNPCA"
"2008-05-09","MNDNR-LAKESDB"
"2008-05-09","MNDNR-SCO"
"2008-05-12","MNPCA"
"2009-05-01","MNDNR-LLMMP"
"2009-05-01","MNDNR-SCO"
"2009-05-01","MNDNR-SCO"
"2010-04-03","MNDNR-SCO"
"2010-04-03","MNDNR-LLMMP"
"2011-04-30","MNDNR-LLMMP"
"2011-05-01","MNDNR-SCO"
"2012-03-28","MNDNR-LLMMP"
"2012-03-28","MNDNR-SCO"
"2013-05-15","MNDNR-LLMMP"
"2014-05-13","MNDNR-LLMMP"
"2014-05-14","MNDNR-SCO"
"2017-04-16","MNDNR-SCO"
"2017-04-19","MNDNR-LLMMP"
