"Name: Elephant"
"ID: 69081000"
"Ice Out Date","Source"
"2008-05-06","MNDNR-LAKESDB"
"2009-04-26","MNDNR-LLMMP"
"2009-04-26","MNDNR-SCO"
"2010-04-02","MNDNR-SCO"
"2011-04-24","MNDNR-SCO"
"2012-03-26","MNDNR-LLMMP"
"2012-03-27","MNDNR-SCO"
"2013-05-14","MNDNR-SCO"
"2014-05-10","MNDNR-SCO"
"2015-04-15","MNDNR-SCO"
"2015-04-15","MNDNR-LLMMP"
"2016-04-20","MNDNR-SCO"
"2016-04-20","MNDNR-LLMMP"
"2017-04-14","MNDNR-SCO"
"2017-04-14","MNPCA"
"2018-05-05","MNDNR-SCO"
"2019-04-28","MNPCA"
"2020-05-01","MNPCA"
"2022-05-11","MNPCA"
