"Name: Upper Prior"
"ID: 70007200"
"Ice Out Date","Source"
"1963-04-04","MNDNR-SCO"
"1964-04-11","MNDNR-SCO"
"1966-03-18","MNDNR-SCO"
"1967-04-03","MNDNR-SCO"
"1968-03-23","MNDNR-SCO"
"1969-04-14","MNDNR-SCO"
"1970-04-20","MNDNR-SCO"
"1971-04-15","MNDNR-SCO"
"1973-03-30","MNDNR-SCO"
"1974-04-17","MNDNR-SCO"
"1975-04-26","MNDNR-SCO"
"1976-04-02","MNDNR-SCO"
"1977-04-06","MNDNR-SCO"
"1978-04-11","MNDNR-SCO"
"1979-04-20","MNDNR-SCO"
"1980-04-17","MNDNR-SCO"
"1981-03-22","MNDNR-SCO"
"1982-04-17","MNDNR-SCO"
"1983-04-06","MNDNR-SCO"
"1984-04-12","MNDNR-SCO"
"1984-04-12","MNDNR-SCO"
"1985-04-08","MNDNR-SCO"
"1985-04-11","MNDNR-SCO"
"1986-04-05","MNDNR-SCO"
"1986-04-05","MNDNR-SCO"
"1987-03-08","MNDNR-SCO"
"1987-03-14","MNDNR-SCO"
"1988-04-02","MNDNR-SCO"
"1988-04-04","MNDNR-SCO"
"1989-04-14","MNDNR-SCO"
"1989-04-15","MNDNR-SCO"
"1990-03-29","MNDNR-SCO"
"1991-04-05","MNDNR-SCO"
"1991-04-06","MNDNR-SCO"
"1992-04-06","MNDNR-SCO"
"1993-04-18","MNDNR-SCO"
"1994-04-04","MNDNR-SCO"
"1995-04-25","MNDNR-SCO"
"1996-04-20","MNDNR-SCO"
"1997-04-05","MNDNR-SCO"
"1998-03-28","MNDNR-SCO"
"1999-03-31","MNDNR-SCO"
"2000-03-08","MNDNR-SCO"
"2000-04-06","MNDNR-SCO"
"2001-04-04","MNPCA"
"2001-04-15","MNDNR-SCO"
"2002-04-13","MNPCA"
"2002-04-13","MNDNR-SCO"
"2002-04-13","MNPCA"
"2003-04-02","MNPCA"
"2003-04-02","MNDNR-SCO"
"2003-04-03","MNPCA"
"2004-04-03","MNDNR-SCO"
"2004-04-03","MNPCA"
"2005-04-05","MNDNR-SCO"
"2005-04-05","MNDNR-SCO"
"2005-04-08","MNPCA"
"2006-04-06","MNDNR-SCO"
"2006-04-06","MNDNR-SCO"
"2006-04-06","MNPCA"
"2006-04-06","MNDNR-LAKESDB"
"2007-03-26","MNPCA"
"2007-03-27","MNPCA"
"2007-03-27","MNDNR-LAKESDB"
"2007-03-28","MNDNR-LAKESDB"
"2007-03-28","MNPCA"
"2008-04-20","MNPCA"
"2008-04-21","MNPCA"
"2008-04-21","MNPCA"
"2008-04-21","MNPCA"
"2008-04-21","MNDNR-LAKESDB"
"2008-04-21","MNDNR-SCO"
"2009-04-04","MNDNR-LLMMP"
"2010-03-31","MNDNR-LLMMP"
"2013-04-29","MNDNR-SCO"
"2015-03-29","MNDNR-SCO"
"2017-03-21","MNDNR-SCO"
"2019-04-09","MNDNR-SCO"
"2020-03-30","MNDNR-SCO"
"2020-03-30","MNPCA"
"2021-03-29","MNDNR-SCO"
