"Name: Pelican"
"ID: 73011800"
"Ice Out Date","Source"
"1992-04-05","MNPCA"
"1992-04-05","MNDNR-LLMMP"
"1993-04-19","MNDNR-LLMMP"
"1993-04-19","MNPCA"
"1994-04-11","MNPCA"
"1994-04-11","MNDNR-LLMMP"
"1995-04-14","MNDNR-LLMMP"
"1995-04-14","MNPCA"
"1996-04-23","MNDNR-LLMMP"
"1996-04-23","MNPCA"
"1997-04-19","MNPCA"
"1997-04-19","MNDNR-LLMMP"
"1998-04-05","MNDNR-LLMMP"
"1998-04-05","MNPCA"
"1999-04-05","MNPCA"
"1999-04-05","MNDNR-LLMMP"
"2000-03-23","MNPCA"
"2000-03-23","MNDNR-LLMMP"
"2001-03-22","MNDNR-LLMMP"
"2001-04-22","MNPCA"
"2002-04-15","MNDNR-LLMMP"
"2002-04-15","MNPCA"
"2003-04-12","MNPCA"
"2003-04-12","MNDNR-LLMMP"
"2004-04-04","MNPCA"
"2004-04-04","MNDNR-LLMMP"
"2004-04-05","MNPCA"
"2005-04-08","MNDNR-LLMMP"
"2005-04-08","MNPCA"
"2006-04-03","MNDNR-LAKESDB"
"2006-04-07","MNPCA"
"2006-04-07","MNDNR-LLMMP"
"2007-04-05","MNDNR-LLMMP"
"2007-04-05","MNPCA"
"2007-04-05","MNPCA"
"2007-04-08","MNPCA"
"2008-04-24","MNDNR-LLMMP"
"2008-04-25","MNPCA"
"2008-04-26","MNPCA"
"2009-04-15","MNDNR-LLMMP"
"2010-03-31","MNDNR-LLMMP"
"2016-03-17","MNPCA"
"2017-03-25","MNPCA"
"2018-05-03","MNPCA"
"2019-04-17","MNPCA"
"2020-04-08","MNPCA"
"2020-04-08","MNDNR-LLMMP"
"2021-03-31","MNDNR-LLMMP"
"2022-04-23","MNPCA"
