"Name: Mound"
"ID: 77000700"
"Ice Out Date","Source"
"1982-04-23","MNPCA"
"1984-04-14","MNPCA"
"1985-04-16","MNPCA"
"1986-04-12","MNPCA"
"1987-03-31","MNPCA"
"1988-04-10","MNPCA"
"1989-04-22","MNPCA"
"1990-04-14","MNPCA"
"1991-04-08","MNPCA"
"1992-04-08","MNPCA"
"1993-04-19","MNPCA"
"1994-04-15","MNPCA"
"1995-04-22","MNPCA"
"1996-04-29","MNPCA"
"1997-04-22","MNPCA"
"1998-04-05","MNPCA"
"1999-04-08","MNPCA"
"2000-03-25","MNPCA"
"2001-04-26","MNPCA"
"2002-04-17","MNPCA"
"2002-04-17","MNPCA"
"2003-04-13","MNPCA"
"2003-04-13","MNPCA"
"2004-04-07","MNPCA"
"2004-04-07","MNPCA"
"2005-04-09","MNPCA"
"2005-04-10","MNPCA"
"2006-04-09","MNPCA"
"2007-04-17","MNPCA"
"2007-04-18","MNPCA"
"2008-05-01","MNPCA"
"2008-05-01","MNPCA"
"2015-04-11","MNPCA"
"2016-03-21","MNDNR-SCO"
"2017-04-01","MNPCA"
"2018-05-01","MNDNR-SCO"
"2018-05-04","MNPCA"
"2019-04-22","MNPCA"
"2020-04-13","MNPCA"
"2020-04-13","MNDNR-LLMMP"
"2021-04-03","MNDNR-LLMMP"
"2022-05-01","MNPCA"
