"Name: Long (Main Basin)"
"ID: 77014901"
"Ice Out Date","Source"
"1976-04-09","MNPCA"
"1977-04-12","MNPCA"
"1978-04-20","MNPCA"
"1979-04-30","MNPCA"
"1980-04-19","MNPCA"
"1981-03-31","MNPCA"
"1982-04-24","MNPCA"
"1983-04-13","MNPCA"
"1984-04-12","MNPCA"
"1985-04-16","MNPCA"
"2003-04-12","MNPCA"
"2003-04-12","MNPCA"
"2004-04-07","MNPCA"
"2004-04-08","MNPCA"
"2005-04-07","MNPCA"
"2005-04-08","MNPCA"
"2006-04-09","MNPCA"
"2007-04-16","MNPCA"
"2007-04-16","MNPCA"
"2007-04-17","MNPCA"
"2007-04-17","MNPCA"
"2008-04-26","MNPCA"
"2008-04-27","MNPCA"
"2008-04-27","MNPCA"
"2015-04-07","MNPCA"
"2017-03-31","MNPCA"
"2018-05-02","MNPCA"
"2019-04-21","MNPCA"
"2020-04-09","MNPCA"
