"Name: Stocking"
"ID: 80003700"
"Ice Out Date","Source"
"1992-04-05","MNPCA"
"1993-04-17","MNPCA"
"1994-04-15","MNPCA"
"1995-04-28","MNPCA"
"1996-05-01","MNPCA"
"1997-04-21","MNPCA"
"1998-04-06","MNPCA"
"1999-04-09","MNPCA"
"2000-03-30","MNPCA"
"2001-04-24","MNPCA"
"2003-04-13","MNPCA"
"2004-04-14","MNPCA"
"2005-04-08","MNPCA"
"2005-04-09","MNPCA"
"2006-04-11","MNPCA"
"2007-04-20","MNPCA"
"2008-04-26","MNPCA"
"2014-04-22","MNDNR-LLMMP"
"2015-04-11","MNDNR-LLMMP"
"2017-04-01","MNDNR-LLMMP"
"2018-04-28","MNDNR-LLMMP"
"2018-04-29","MNPCA"
"2019-04-23","MNDNR-LLMMP"
"2019-04-23","MNPCA"
"2020-04-10","MNDNR-LLMMP"
"2020-04-12","MNPCA"
"2021-04-01","MNDNR-LLMMP"
"2022-05-03","MNPCA"
