"Name: Clear"
"ID: 81001401"
"Ice Out Date","Source"
"1874-04-24","MNPCA"
"1875-04-19","MNPCA"
"1876-04-19","MNPCA"
"1877-04-12","MNPCA"
"1878-03-15","MNPCA"
"1879-03-20","MNPCA"
"1880-03-30","MNPCA"
"1894-03-20","MNPCA"
"1895-03-31","MNPCA"
"1896-03-25","MNPCA"
"1897-04-06","MNPCA"
"1898-03-20","MNPCA"
"1899-04-18","MNPCA"
"1900-04-08","MNPCA"
"1901-04-06","MNPCA"
"1902-03-15","MNPCA"
"1903-04-03","MNPCA"
"1904-03-30","MNPCA"
"1906-04-04","MNPCA"
"1907-03-27","MNPCA"
"1910-04-06","MNPCA"
"1914-04-08","MNPCA"
"1915-04-11","MNPCA"
"1916-04-12","MNPCA"
"1917-04-17","MNPCA"
"1918-03-31","MNPCA"
"1919-03-26","MNPCA"
"1920-03-28","MNPCA"
"1921-03-18","MNPCA"
"1922-04-03","MNPCA"
"1923-04-15","MNPCA"
"1924-04-14","MNPCA"
"1925-03-30","MNPCA"
"1926-04-13","MNPCA"
"1927-03-30","MNPCA"
"1928-03-26","MNPCA"
"1929-03-30","MNPCA"
"1930-03-16","MNPCA"
"1931-03-07","MNPCA"
"1932-04-07","MNPCA"
"1933-04-01","MNPCA"
"1934-03-15","MNPCA"
"1935-03-26","MNPCA"
"1936-04-15","MNPCA"
"1937-04-14","MNPCA"
"1938-03-25","MNPCA"
"1939-04-04","MNPCA"
"1940-04-15","MNPCA"
"1941-04-11","MNPCA"
"1942-03-24","MNPCA"
"1943-04-04","MNPCA"
"1944-04-02","MNPCA"
"1945-03-24","MNPCA"
"1946-03-26","MNPCA"
"1947-04-05","MNPCA"
"1948-03-31","MNPCA"
"1949-04-07","MNPCA"
"1950-04-18","MNPCA"
"1951-04-27","MNPCA"
"1952-04-19","MNPCA"
"1953-04-01","MNPCA"
"1954-03-24","MNPCA"
"1955-04-06","MNPCA"
"1956-04-17","MNPCA"
"1957-04-03","MNPCA"
"1958-04-04","MNPCA"
"1959-04-08","MNPCA"
"1960-04-08","MNPCA"
"1961-04-09","MNPCA"
"1962-04-22","MNPCA"
"1963-04-01","MNPCA"
"1964-04-05","MNPCA"
"1965-04-24","MNPCA"
"1966-03-17","MNPCA"
"1967-04-01","MNPCA"
"1968-03-16","MNPCA"
"1969-04-14","MNPCA"
"1970-04-15","MNPCA"
"1971-04-11","MNPCA"
"1972-04-17","MNPCA"
"1973-03-25","MNPCA"
"1974-04-10","MNPCA"
"1975-04-26","MNPCA"
"1976-03-24","MNPCA"
"1977-03-27","MNPCA"
"1978-04-06","MNPCA"
"1979-04-19","MNPCA"
"1980-04-11","MNPCA"
"1981-03-11","MNPCA"
"1982-04-02","MNPCA"
"1983-03-27","MNPCA"
"1984-04-12","MNPCA"
"1985-03-27","MNPCA"
"1986-03-31","MNPCA"
"1987-03-06","MNPCA"
"1988-03-31","MNPCA"
"1989-04-08","MNPCA"
"1990-03-22","MNPCA"
"1991-04-02","MNPCA"
"1992-04-03","MNPCA"
"1993-04-17","MNPCA"
"1994-04-01","MNPCA"
"1995-03-18","MNPCA"
"1996-04-18","MNPCA"
"1997-04-05","MNPCA"
"1998-03-29","MNPCA"
"1999-03-27","MNPCA"
"2000-03-07","MNPCA"
"2001-04-15","MNPCA"
"2002-04-01","MNPCA"
"2003-03-27","MNPCA"
"2004-03-28","MNPCA"
"2005-04-04","MNPCA"
"2005-04-05","MNPCA"
"2006-04-03","MNPCA"
"2007-03-27","MNPCA"
"2008-04-16","MNPCA"
"2009-03-25","MNDNR-SCO"
"2010-03-31","MNDNR-SCO"
"2011-04-10","MNDNR-SCO"
"2012-03-14","MNDNR-SCO"
"2013-04-22","MNDNR-SCO"
"2014-04-12","MNDNR-SCO"
"2015-03-22","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2017-03-23","MNDNR-SCO"
"2018-04-29","MNDNR-SCO"
"2019-04-05","MNDNR-SCO"
"2020-03-29","MNDNR-SCO"
"2021-03-27","MNDNR-SCO"
"2022-04-05","MNDNR-SCO"
