"Name: McDonald"
"ID: 82001000"
"Ice Out Date","Source"
"1993-04-12","MNPCA"
"1994-04-01","MNPCA"
"1995-04-15","MNPCA"
"1996-04-19","MNPCA"
"1997-04-11","MNPCA"
"1998-03-29","MNPCA"
"1999-03-30","MNPCA"
"2000-03-07","MNPCA"
"2001-04-15","MNPCA"
"2002-04-14","MNPCA"
"2003-04-02","MNPCA"
"2004-04-06","MNPCA"
"2005-04-06","MNPCA"
"2006-04-07","MNPCA"
"2007-03-26","MNPCA"
"2008-04-20","MNDNR-LAKESDB"
"2008-04-20","MNPCA"
"2009-04-02","MNDNR-LLMMP"
"2011-04-10","MNDNR-LLMMP"
"2012-03-18","MNDNR-LLMMP"
"2013-04-27","MNDNR-LLMMP"
"2014-04-13","MNDNR-LLMMP"
"2015-03-29","MNDNR-LLMMP"
"2016-03-16","MNPCA"
"2016-03-16","MNDNR-LLMMP"
"2017-03-27","MNDNR-LLMMP"
"2017-03-27","MNPCA"
"2018-04-28","MNDNR-LLMMP"
"2019-04-08","MNDNR-LLMMP"
"2020-04-01","MNPCA"
"2020-04-01","MNDNR-LLMMP"
"2021-03-24","MNDNR-LLMMP"
"2022-04-11","MNPCA"
