"Name: White Bear"
"ID: 82016700"
"Ice Out Date","Source"
"1928-04-02","MNDNR-LAKESDB"
"1928-04-02","MNDNR-SCO"
"1929-04-04","MNDNR-SCO"
"1929-04-04","MNDNR-LAKESDB"
"1930-04-04","MNDNR-LAKESDB"
"1930-04-04","MNDNR-SCO"
"1931-04-07","MNDNR-LAKESDB"
"1931-04-07","MNDNR-SCO"
"1932-04-11","MNDNR-SCO"
"1932-04-11","MNDNR-LAKESDB"
"1933-04-18","MNDNR-LAKESDB"
"1933-04-18","MNDNR-SCO"
"1934-04-08","MNDNR-LAKESDB"
"1934-04-08","MNDNR-SCO"
"1935-04-10","MNDNR-SCO"
"1935-04-10","MNDNR-LAKESDB"
"1936-04-23","MNDNR-LAKESDB"
"1936-04-23","MNDNR-SCO"
"1937-04-19","MNDNR-SCO"
"1937-04-19","MNDNR-LAKESDB"
"1938-03-31","MNDNR-SCO"
"1938-03-31","MNDNR-LAKESDB"
"1939-04-16","MNDNR-LAKESDB"
"1939-04-16","MNDNR-SCO"
"1940-04-25","MNDNR-LAKESDB"
"1940-04-25","MNDNR-SCO"
"1941-04-13","MNDNR-LAKESDB"
"1941-04-13","MNDNR-SCO"
"1942-04-06","MNDNR-LAKESDB"
"1942-04-06","MNDNR-SCO"
"1943-04-13","MNDNR-LAKESDB"
"1943-04-13","MNDNR-SCO"
"1944-04-15","MNDNR-LAKESDB"
"1944-04-15","MNDNR-SCO"
"1945-03-29","MNDNR-LAKESDB"
"1945-03-29","MNDNR-SCO"
"1946-03-30","MNDNR-LAKESDB"
"1946-03-30","MNDNR-SCO"
"1947-04-17","MNDNR-SCO"
"1947-04-17","MNDNR-LAKESDB"
"1948-04-10","MNDNR-SCO"
"1948-04-10","MNDNR-LAKESDB"
"1949-04-12","MNDNR-SCO"
"1949-04-12","MNDNR-LAKESDB"
"1950-05-04","MNDNR-SCO"
"1950-05-04","MNDNR-LAKESDB"
"1951-04-29","MNDNR-LAKESDB"
"1951-04-29","MNDNR-SCO"
"1952-04-21","MNDNR-LAKESDB"
"1952-04-21","MNDNR-SCO"
"1953-04-10","MNDNR-SCO"
"1953-04-10","MNDNR-LAKESDB"
"1954-04-17","MNDNR-LAKESDB"
"1954-04-17","MNDNR-SCO"
"1955-04-11","MNDNR-LAKESDB"
"1955-04-11","MNDNR-SCO"
"1956-04-21","MNDNR-LAKESDB"
"1956-04-21","MNDNR-SCO"
"1957-04-20","MNDNR-LAKESDB"
"1957-04-20","MNDNR-SCO"
"1958-04-11","MNDNR-LAKESDB"
"1958-04-11","MNDNR-SCO"
"1959-04-12","MNDNR-LAKESDB"
"1959-04-12","MNDNR-SCO"
"1960-04-13","MNDNR-LAKESDB"
"1960-04-13","MNDNR-SCO"
"1961-04-14","MNDNR-LAKESDB"
"1961-04-14","MNDNR-SCO"
"1962-04-25","MNDNR-LAKESDB"
"1962-04-25","MNDNR-SCO"
"1963-04-11","MNDNR-LAKESDB"
"1963-04-11","MNDNR-SCO"
"1964-04-13","MNDNR-SCO"
"1964-04-13","MNDNR-LAKESDB"
"1965-05-02","MNDNR-LAKESDB"
"1965-05-02","MNDNR-SCO"
"1966-04-09","MNDNR-LAKESDB"
"1966-04-09","MNDNR-SCO"
"1967-04-09","MNDNR-LAKESDB"
"1967-04-09","MNDNR-SCO"
"1968-03-31","MNDNR-SCO"
"1968-03-31","MNDNR-LAKESDB"
"1969-04-17","MNDNR-SCO"
"1969-04-17","MNDNR-LAKESDB"
"1970-04-17","MNDNR-LAKESDB"
"1970-04-17","MNDNR-SCO"
"1971-04-16","MNDNR-LAKESDB"
"1971-04-16","MNDNR-SCO"
"1972-04-25","MNDNR-LAKESDB"
"1972-04-25","MNDNR-SCO"
"1973-04-04","MNDNR-SCO"
"1973-04-04","MNDNR-LAKESDB"
"1974-04-22","MNDNR-LAKESDB"
"1974-04-22","MNDNR-SCO"
"1975-04-28","MNDNR-SCO"
"1975-04-28","MNDNR-LAKESDB"
"1976-04-07","MNDNR-SCO"
"1976-04-07","MNDNR-LAKESDB"
"1977-04-11","MNDNR-LAKESDB"
"1977-04-11","MNDNR-SCO"
"1978-04-17","MNDNR-SCO"
"1978-04-17","MNDNR-LAKESDB"
"1979-04-23","MNDNR-LAKESDB"
"1979-04-23","MNDNR-SCO"
"1980-04-19","MNDNR-LAKESDB"
"1980-04-19","MNDNR-SCO"
"1981-03-29","MNDNR-SCO"
"1981-03-29","MNDNR-LAKESDB"
"1982-04-19","MNDNR-SCO"
"1982-04-19","MNDNR-LAKESDB"
"1983-04-14","MNDNR-SCO"
"1983-04-14","MNDNR-LAKESDB"
"1984-04-14","MNDNR-SCO"
"1984-04-14","MNDNR-LAKESDB"
"1985-04-12","MNDNR-LAKESDB"
"1985-04-12","MNDNR-SCO"
"1986-04-08","MNDNR-LAKESDB"
"1986-04-08","MNDNR-SCO"
"1987-03-24","MNDNR-LAKESDB"
"1987-03-24","MNDNR-SCO"
"1988-04-07","MNDNR-SCO"
"1988-04-07","MNDNR-LAKESDB"
"1989-04-17","MNDNR-SCO"
"1989-04-17","MNDNR-LAKESDB"
"1990-04-04","MNDNR-SCO"
"1991-04-07","MNDNR-SCO"
"1991-04-07","MNDNR-LAKESDB"
"1992-04-10","MNDNR-SCO"
"1992-04-10","MNDNR-LAKESDB"
"1993-04-19","MNDNR-SCO"
"1993-04-19","MNDNR-LAKESDB"
"1994-04-06","MNDNR-LAKESDB"
"1994-04-06","MNDNR-SCO"
"1995-04-03","MNDNR-LAKESDB"
"1995-04-04","MNDNR-SCO"
"1996-04-24","MNDNR-LAKESDB"
"1996-04-24","MNDNR-SCO"
"1997-04-18","MNDNR-SCO"
"1997-04-18","MNDNR-LAKESDB"
"1998-04-03","MNDNR-LAKESDB"
"1998-04-03","MNDNR-SCO"
"1999-04-02","MNDNR-SCO"
"1999-04-02","MNDNR-LAKESDB"
"2000-03-21","MNDNR-SCO"
"2001-04-19","MNDNR-SCO"
"2002-04-15","MNDNR-SCO"
"2003-04-11","MNDNR-SCO"
"2003-04-11","MNPCA"
"2004-04-07","MNPCA"
"2004-04-07","MNDNR-SCO"
"2005-04-09","MNDNR-SCO"
"2006-04-09","MNDNR-SCO"
"2007-03-31","MNDNR-SCO"
"2008-04-23","MNDNR-SCO"
"2009-04-11","MNDNR-SCO"
"2010-04-01","MNDNR-SCO"
"2011-04-13","MNDNR-SCO"
"2012-03-19","MNDNR-SCO"
"2013-05-01","MNDNR-SCO"
"2014-04-23","MNDNR-SCO"
"2015-04-02","MNDNR-SCO"
"2016-03-16","MNDNR-SCO"
"2017-03-23","MNDNR-SCO"
"2018-05-04","MNDNR-SCO"
"2019-04-18","MNDNR-SCO"
"2020-04-02","MNDNR-SCO"
"2021-03-29","MNDNR-SCO"
"2022-04-20","MNDNR-SCO"
