"Name: John"
"ID: 86028800"
"Ice Out Date","Source"
"2002-04-16","MNPCA"
"2003-04-10","MNPCA"
"2004-04-14","MNPCA"
"2005-04-08","MNPCA"
"2006-04-07","MNPCA"
"2007-04-01","MNPCA"
"2008-04-22","MNPCA"
"2011-04-13","MNDNR-LLMMP"
"2013-05-02","MNDNR-LLMMP"
"2014-04-24","MNPCA"
"2015-04-04","MNPCA"
"2016-03-16","MNPCA"
"2017-03-29","MNPCA"
"2018-05-02","MNPCA"
"2019-04-20","MNPCA"
"2020-04-07","MNPCA"
"2021-03-29","MNDNR-LLMMP"
"2022-04-14","MNDNR-SCO"
"2022-04-15","MNDNR-LLMMP"
"2022-04-16","MNPCA"
