"Name: Collinwood"
"ID: 86029300"
"Ice Out Date","Source"
"1985-04-02","MNPCA"
"1986-04-08","MNPCA"
"1987-04-14","MNPCA"
"1988-04-04","MNPCA"
"1989-04-16","MNPCA"
"1990-04-01","MNPCA"
"1991-04-05","MNPCA"
"1992-04-05","MNPCA"
"1993-04-18","MNPCA"
"1994-04-12","MNPCA"
"1995-04-07","MNPCA"
"1996-04-23","MNPCA"
"1997-04-20","MNPCA"
"1998-04-01","MNPCA"
"1999-03-31","MNPCA"
"2000-03-08","MNPCA"
"2001-04-20","MNPCA"
"2002-04-15","MNPCA"
"2003-04-09","MNPCA"
"2004-04-02","MNPCA"
"2005-04-08","MNPCA"
"2007-04-07","MNPCA"
"2008-04-22","MNPCA"
"2014-04-14","MNDNR-SCO"
"2014-04-14","MNDNR-LLMMP"
"2016-03-15","MNDNR-SCO"
"2020-04-05","MNPCA"
"2022-04-12","MNPCA"
